filing_date,count,component
2014-09-30,1,russo-ukrainian_domestic
2014-10-31,0,russo-ukrainian_domestic
2014-11-30,0,russo-ukrainian_domestic
2014-12-31,0,russo-ukrainian_domestic
2015-01-31,0,russo-ukrainian_domestic
2015-02-28,0,russo-ukrainian_domestic
2015-03-31,0,russo-ukrainian_domestic
2015-04-30,0,russo-ukrainian_domestic
2015-05-31,0,russo-ukrainian_domestic
2015-06-30,0,russo-ukrainian_domestic
2015-07-31,0,russo-ukrainian_domestic
2015-08-31,0,russo-ukrainian_domestic
2015-09-30,0,russo-ukrainian_domestic
2015-10-31,0,russo-ukrainian_domestic
2015-11-30,0,russo-ukrainian_domestic
2015-12-31,0,russo-ukrainian_domestic
2016-01-31,0,russo-ukrainian_domestic
2016-02-29,0,russo-ukrainian_domestic
2016-03-31,0,russo-ukrainian_domestic
2016-04-30,0,russo-ukrainian_domestic
2016-05-31,0,russo-ukrainian_domestic
2016-06-30,0,russo-ukrainian_domestic
2016-07-31,0,russo-ukrainian_domestic
2016-08-31,0,russo-ukrainian_domestic
2016-09-30,0,russo-ukrainian_domestic
2016-10-31,0,russo-ukrainian_domestic
2016-11-30,0,russo-ukrainian_domestic
2016-12-31,0,russo-ukrainian_domestic
2017-01-31,0,russo-ukrainian_domestic
2017-02-28,0,russo-ukrainian_domestic
2017-03-31,0,russo-ukrainian_domestic
2017-04-30,0,russo-ukrainian_domestic
2017-05-31,0,russo-ukrainian_domestic
2017-06-30,0,russo-ukrainian_domestic
2017-07-31,0,russo-ukrainian_domestic
2017-08-31,0,russo-ukrainian_domestic
2017-09-30,0,russo-ukrainian_domestic
2017-10-31,0,russo-ukrainian_domestic
2017-11-30,0,russo-ukrainian_domestic
2017-12-31,0,russo-ukrainian_domestic
2018-01-31,0,russo-ukrainian_domestic
2018-02-28,0,russo-ukrainian_domestic
2018-03-31,0,russo-ukrainian_domestic
2018-04-30,0,russo-ukrainian_domestic
2018-05-31,0,russo-ukrainian_domestic
2018-06-30,0,russo-ukrainian_domestic
2018-07-31,0,russo-ukrainian_domestic
2018-08-31,0,russo-ukrainian_domestic
2018-09-30,0,russo-ukrainian_domestic
2018-10-31,0,russo-ukrainian_domestic
2018-11-30,0,russo-ukrainian_domestic
2018-12-31,0,russo-ukrainian_domestic
2019-01-31,0,russo-ukrainian_domestic
2019-02-28,0,russo-ukrainian_domestic
2019-03-31,0,russo-ukrainian_domestic
2019-04-30,0,russo-ukrainian_domestic
2019-05-31,0,russo-ukrainian_domestic
2019-06-30,0,russo-ukrainian_domestic
2019-07-31,0,russo-ukrainian_domestic
2019-08-31,0,russo-ukrainian_domestic
2019-09-30,0,russo-ukrainian_domestic
2019-10-31,0,russo-ukrainian_domestic
2019-11-30,0,russo-ukrainian_domestic
2019-12-31,0,russo-ukrainian_domestic
2020-01-31,0,russo-ukrainian_domestic
2020-02-29,0,russo-ukrainian_domestic
2020-03-31,0,russo-ukrainian_domestic
2020-04-30,0,russo-ukrainian_domestic
2020-05-31,0,russo-ukrainian_domestic
2020-06-30,0,russo-ukrainian_domestic
2020-07-31,0,russo-ukrainian_domestic
2020-08-31,0,russo-ukrainian_domestic
2020-09-30,0,russo-ukrainian_domestic
2020-10-31,0,russo-ukrainian_domestic
2020-11-30,0,russo-ukrainian_domestic
2020-12-31,0,russo-ukrainian_domestic
2021-01-31,0,russo-ukrainian_domestic
2021-02-28,0,russo-ukrainian_domestic
2021-03-31,0,russo-ukrainian_domestic
2021-04-30,0,russo-ukrainian_domestic
2021-05-31,0,russo-ukrainian_domestic
2021-06-30,0,russo-ukrainian_domestic
2021-07-31,0,russo-ukrainian_domestic
2021-08-31,0,russo-ukrainian_domestic
2021-09-30,0,russo-ukrainian_domestic
2021-10-31,0,russo-ukrainian_domestic
2021-11-30,0,russo-ukrainian_domestic
2021-12-31,0,russo-ukrainian_domestic
2022-01-31,0,russo-ukrainian_domestic
2022-02-28,6,russo-ukrainian_domestic
2022-03-31,68,russo-ukrainian_domestic
2022-04-30,85,russo-ukrainian_domestic
2022-05-31,139,russo-ukrainian_domestic
2022-06-30,37,russo-ukrainian_domestic
2022-07-31,88,russo-ukrainian_domestic
2022-08-31,142,russo-ukrainian_domestic
2022-09-30,35,russo-ukrainian_domestic
2022-10-31,102,russo-ukrainian_domestic
2022-11-30,147,russo-ukrainian_domestic
2022-12-31,40,russo-ukrainian_domestic
2023-01-31,61,russo-ukrainian_domestic
2023-02-28,123,russo-ukrainian_domestic
2023-03-31,61,russo-ukrainian_domestic
2023-04-30,58,russo-ukrainian_domestic
2023-05-31,120,russo-ukrainian_domestic
2023-06-30,27,russo-ukrainian_domestic
2023-07-31,67,russo-ukrainian_domestic
2023-08-31,113,russo-ukrainian_domestic
2023-09-30,27,russo-ukrainian_domestic
2023-10-31,71,russo-ukrainian_domestic
2023-11-30,104,russo-ukrainian_domestic
2023-12-31,28,russo-ukrainian_domestic
2024-01-31,54,russo-ukrainian_domestic
2024-02-29,74,russo-ukrainian_domestic
2024-03-31,52,russo-ukrainian_domestic
2024-04-30,58,russo-ukrainian_domestic
2024-05-31,85,russo-ukrainian_domestic
2024-06-30,25,russo-ukrainian_domestic
2024-07-31,57,russo-ukrainian_domestic
2024-08-31,72,russo-ukrainian_domestic
2024-09-30,27,russo-ukrainian_domestic
2024-10-31,62,russo-ukrainian_domestic
2024-11-30,63,russo-ukrainian_domestic
2024-12-31,35,russo-ukrainian_domestic
2025-01-31,45,russo-ukrainian_domestic
2025-02-28,62,russo-ukrainian_domestic
2025-03-31,40,russo-ukrainian_domestic
2014-10-31,1,israel-hamas_domestic
2014-11-30,1,israel-hamas_domestic
2014-12-31,0,israel-hamas_domestic
2015-01-31,0,israel-hamas_domestic
2015-02-28,0,israel-hamas_domestic
2015-03-31,0,israel-hamas_domestic
2015-04-30,0,israel-hamas_domestic
2015-05-31,0,israel-hamas_domestic
2015-06-30,0,israel-hamas_domestic
2015-07-31,0,israel-hamas_domestic
2015-08-31,0,israel-hamas_domestic
2015-09-30,0,israel-hamas_domestic
2015-10-31,0,israel-hamas_domestic
2015-11-30,0,israel-hamas_domestic
2015-12-31,0,israel-hamas_domestic
2016-01-31,0,israel-hamas_domestic
2016-02-29,0,israel-hamas_domestic
2016-03-31,0,israel-hamas_domestic
2016-04-30,0,israel-hamas_domestic
2016-05-31,0,israel-hamas_domestic
2016-06-30,0,israel-hamas_domestic
2016-07-31,0,israel-hamas_domestic
2016-08-31,0,israel-hamas_domestic
2016-09-30,0,israel-hamas_domestic
2016-10-31,0,israel-hamas_domestic
2016-11-30,0,israel-hamas_domestic
2016-12-31,0,israel-hamas_domestic
2017-01-31,0,israel-hamas_domestic
2017-02-28,0,israel-hamas_domestic
2017-03-31,0,israel-hamas_domestic
2017-04-30,0,israel-hamas_domestic
2017-05-31,0,israel-hamas_domestic
2017-06-30,0,israel-hamas_domestic
2017-07-31,0,israel-hamas_domestic
2017-08-31,0,israel-hamas_domestic
2017-09-30,0,israel-hamas_domestic
2017-10-31,0,israel-hamas_domestic
2017-11-30,0,israel-hamas_domestic
2017-12-31,0,israel-hamas_domestic
2018-01-31,0,israel-hamas_domestic
2018-02-28,0,israel-hamas_domestic
2018-03-31,0,israel-hamas_domestic
2018-04-30,0,israel-hamas_domestic
2018-05-31,0,israel-hamas_domestic
2018-06-30,0,israel-hamas_domestic
2018-07-31,0,israel-hamas_domestic
2018-08-31,0,israel-hamas_domestic
2018-09-30,0,israel-hamas_domestic
2018-10-31,0,israel-hamas_domestic
2018-11-30,0,israel-hamas_domestic
2018-12-31,0,israel-hamas_domestic
2019-01-31,0,israel-hamas_domestic
2019-02-28,0,israel-hamas_domestic
2019-03-31,0,israel-hamas_domestic
2019-04-30,0,israel-hamas_domestic
2019-05-31,0,israel-hamas_domestic
2019-06-30,0,israel-hamas_domestic
2019-07-31,0,israel-hamas_domestic
2019-08-31,0,israel-hamas_domestic
2019-09-30,0,israel-hamas_domestic
2019-10-31,0,israel-hamas_domestic
2019-11-30,0,israel-hamas_domestic
2019-12-31,0,israel-hamas_domestic
2020-01-31,0,israel-hamas_domestic
2020-02-29,0,israel-hamas_domestic
2020-03-31,0,israel-hamas_domestic
2020-04-30,0,israel-hamas_domestic
2020-05-31,0,israel-hamas_domestic
2020-06-30,0,israel-hamas_domestic
2020-07-31,0,israel-hamas_domestic
2020-08-31,0,israel-hamas_domestic
2020-09-30,0,israel-hamas_domestic
2020-10-31,0,israel-hamas_domestic
2020-11-30,0,israel-hamas_domestic
2020-12-31,0,israel-hamas_domestic
2021-01-31,0,israel-hamas_domestic
2021-02-28,0,israel-hamas_domestic
2021-03-31,0,israel-hamas_domestic
2021-04-30,0,israel-hamas_domestic
2021-05-31,0,israel-hamas_domestic
2021-06-30,0,israel-hamas_domestic
2021-07-31,0,israel-hamas_domestic
2021-08-31,0,israel-hamas_domestic
2021-09-30,0,israel-hamas_domestic
2021-10-31,0,israel-hamas_domestic
2021-11-30,0,israel-hamas_domestic
2021-12-31,0,israel-hamas_domestic
2022-01-31,0,israel-hamas_domestic
2022-02-28,0,israel-hamas_domestic
2022-03-31,0,israel-hamas_domestic
2022-04-30,0,israel-hamas_domestic
2022-05-31,0,israel-hamas_domestic
2022-06-30,0,israel-hamas_domestic
2022-07-31,0,israel-hamas_domestic
2022-08-31,0,israel-hamas_domestic
2022-09-30,0,israel-hamas_domestic
2022-10-31,0,israel-hamas_domestic
2022-11-30,0,israel-hamas_domestic
2022-12-31,0,israel-hamas_domestic
2023-01-31,0,israel-hamas_domestic
2023-02-28,0,israel-hamas_domestic
2023-03-31,0,israel-hamas_domestic
2023-04-30,0,israel-hamas_domestic
2023-05-31,0,israel-hamas_domestic
2023-06-30,0,israel-hamas_domestic
2023-07-31,0,israel-hamas_domestic
2023-08-31,0,israel-hamas_domestic
2023-09-30,0,israel-hamas_domestic
2023-10-31,19,israel-hamas_domestic
2023-11-30,43,israel-hamas_domestic
2023-12-31,12,israel-hamas_domestic
2024-01-31,19,israel-hamas_domestic
2024-02-29,39,israel-hamas_domestic
2024-03-31,17,israel-hamas_domestic
2024-04-30,27,israel-hamas_domestic
2024-05-31,37,israel-hamas_domestic
2024-06-30,10,israel-hamas_domestic
2024-07-31,11,israel-hamas_domestic
2024-08-31,38,israel-hamas_domestic
2024-09-30,8,israel-hamas_domestic
2024-10-31,15,israel-hamas_domestic
2024-11-30,32,israel-hamas_domestic
2024-12-31,10,israel-hamas_domestic
2025-01-31,10,israel-hamas_domestic
2025-02-28,25,israel-hamas_domestic
2025-03-31,10,israel-hamas_domestic
2012-04-30,1,syrian-civil_domestic
2012-05-31,0,syrian-civil_domestic
2012-06-30,0,syrian-civil_domestic
2012-07-31,0,syrian-civil_domestic
2012-08-31,0,syrian-civil_domestic
2012-09-30,0,syrian-civil_domestic
2012-10-31,0,syrian-civil_domestic
2012-11-30,0,syrian-civil_domestic
2012-12-31,0,syrian-civil_domestic
2013-01-31,0,syrian-civil_domestic
2013-02-28,0,syrian-civil_domestic
2013-03-31,0,syrian-civil_domestic
2013-04-30,0,syrian-civil_domestic
2013-05-31,0,syrian-civil_domestic
2013-06-30,0,syrian-civil_domestic
2013-07-31,0,syrian-civil_domestic
2013-08-31,0,syrian-civil_domestic
2013-09-30,0,syrian-civil_domestic
2013-10-31,0,syrian-civil_domestic
2013-11-30,0,syrian-civil_domestic
2013-12-31,0,syrian-civil_domestic
2014-01-31,0,syrian-civil_domestic
2014-02-28,0,syrian-civil_domestic
2014-03-31,0,syrian-civil_domestic
2014-04-30,0,syrian-civil_domestic
2014-05-31,0,syrian-civil_domestic
2014-06-30,1,syrian-civil_domestic
2014-07-31,0,syrian-civil_domestic
2014-08-31,0,syrian-civil_domestic
2014-09-30,0,syrian-civil_domestic
2014-10-31,0,syrian-civil_domestic
2014-11-30,0,syrian-civil_domestic
2014-12-31,0,syrian-civil_domestic
2015-01-31,0,syrian-civil_domestic
2015-02-28,0,syrian-civil_domestic
2015-03-31,0,syrian-civil_domestic
2015-04-30,0,syrian-civil_domestic
2015-05-31,0,syrian-civil_domestic
2015-06-30,0,syrian-civil_domestic
2015-07-31,0,syrian-civil_domestic
2015-08-31,0,syrian-civil_domestic
2015-09-30,0,syrian-civil_domestic
2015-10-31,0,syrian-civil_domestic
2015-11-30,0,syrian-civil_domestic
2015-12-31,0,syrian-civil_domestic
2016-01-31,0,syrian-civil_domestic
2016-02-29,0,syrian-civil_domestic
2016-03-31,0,syrian-civil_domestic
2016-04-30,0,syrian-civil_domestic
2016-05-31,0,syrian-civil_domestic
2016-06-30,2,syrian-civil_domestic
2016-07-31,0,syrian-civil_domestic
2016-08-31,0,syrian-civil_domestic
2016-09-30,0,syrian-civil_domestic
2016-10-31,0,syrian-civil_domestic
2016-11-30,0,syrian-civil_domestic
2016-12-31,0,syrian-civil_domestic
2017-01-31,0,syrian-civil_domestic
2017-02-28,0,syrian-civil_domestic
2017-03-31,0,syrian-civil_domestic
2017-04-30,0,syrian-civil_domestic
2017-05-31,0,syrian-civil_domestic
2017-06-30,0,syrian-civil_domestic
2017-07-31,0,syrian-civil_domestic
2017-08-31,0,syrian-civil_domestic
2017-09-30,0,syrian-civil_domestic
2017-10-31,0,syrian-civil_domestic
2017-11-30,0,syrian-civil_domestic
2017-12-31,0,syrian-civil_domestic
2018-01-31,0,syrian-civil_domestic
2018-02-28,0,syrian-civil_domestic
2018-03-31,0,syrian-civil_domestic
2018-04-30,0,syrian-civil_domestic
2018-05-31,0,syrian-civil_domestic
2018-06-30,0,syrian-civil_domestic
2018-07-31,0,syrian-civil_domestic
2018-08-31,0,syrian-civil_domestic
2018-09-30,0,syrian-civil_domestic
2018-10-31,0,syrian-civil_domestic
2018-11-30,0,syrian-civil_domestic
2018-12-31,0,syrian-civil_domestic
2019-01-31,0,syrian-civil_domestic
2019-02-28,0,syrian-civil_domestic
2019-03-31,0,syrian-civil_domestic
2019-04-30,0,syrian-civil_domestic
2019-05-31,0,syrian-civil_domestic
2019-06-30,0,syrian-civil_domestic
2019-07-31,0,syrian-civil_domestic
2019-08-31,0,syrian-civil_domestic
