ownerOrg,period,count,component
Industrial Applications and Services,1,1,electronic-warfare_domestic
Trade & Services,1,2,electronic-warfare_domestic
Manufacturing,1,2,electronic-warfare_intl
Energy & Transportation,1,1,uav-drone_domestic
Manufacturing,1,5,uav-drone_domestic
Real Estate & Construction,1,1,uav-drone_domestic
Technology,1,1,uav-drone_domestic
Energy & Transportation,1,4,uav-drone_intl
Manufacturing,1,8,uav-drone_intl
Crypto Assets,1,1,aircraft_domestic
Energy & Transportation,1,9,aircraft_domestic
Finance,1,2,aircraft_domestic
Industrial Applications and Services,1,2,aircraft_domestic
Life Sciences,1,1,aircraft_domestic
Manufacturing,1,13,aircraft_domestic
Real Estate & Construction,1,9,aircraft_domestic
Technology,1,5,aircraft_domestic
Trade & Services,1,7,aircraft_domestic
Crypto Assets,1,1,aircraft_intl
Energy & Transportation,1,16,aircraft_intl
Finance,1,2,aircraft_intl
Manufacturing,1,10,aircraft_intl
Technology,1,2,aircraft_intl
Trade & Services,1,1,aircraft_intl
Finance,1,1,aircraft-f16_intl
Finance,1,1,ammunition-40mm_domestic
Technology,1,1,ammunition-40mm_intl
