ownerOrg,period,count,component
Energy & Transportation,1,2,nitric-acid_domestic
Industrial Applications and Services,1,3,nitric-acid_domestic
Energy & Transportation,0,2,nitric-acid_intl
Energy & Transportation,1,3,hydrogen-peroxide_domestic
Industrial Applications and Services,1,1,hydrogen-peroxide_domestic
Energy & Transportation,0,1,hydrogen-peroxide_intl
Energy & Transportation,1,1,hydrogen-peroxide_intl
Manufacturing,0,1,hydrogen-peroxide_intl
Energy & Transportation,0,1,kerosene_domestic
Energy & Transportation,1,1,kerosene_domestic
Real Estate & Construction,0,2,kerosene_domestic
Energy & Transportation,0,1,kerosene_intl
Energy & Transportation,1,3,kerosene_intl
Technology,1,1,kerosene_intl
