ownerOrg,period,count,component
Crypto Assets,0,3,general_domestic
Crypto Assets,1,1,general_domestic
Energy & Transportation,0,13,general_domestic
Energy & Transportation,1,10,general_domestic
Finance,0,21,general_domestic
Finance,1,15,general_domestic
Industrial Applications and Services,0,9,general_domestic
Industrial Applications and Services,1,4,general_domestic
Life Sciences,0,5,general_domestic
Life Sciences,1,4,general_domestic
Manufacturing,0,15,general_domestic
Manufacturing,1,7,general_domestic
Real Estate & Construction,0,10,general_domestic
Real Estate & Construction,1,7,general_domestic
Technology,0,73,general_domestic
Technology,1,60,general_domestic
Trade & Services,0,22,general_domestic
Trade & Services,1,12,general_domestic
Crypto Assets,1,1,openai_domestic
Energy & Transportation,0,8,openai_domestic
Energy & Transportation,1,5,openai_domestic
Finance,1,1,openai_domestic
Industrial Applications and Services,0,2,openai_domestic
Life Sciences,1,1,openai_domestic
Real Estate & Construction,1,1,openai_domestic
Technology,0,12,openai_domestic
Technology,1,11,openai_domestic
Trade & Services,0,2,openai_domestic
Trade & Services,1,2,openai_domestic
Finance,0,1,anthropic_domestic
Technology,0,5,anthropic_domestic
Technology,1,1,anthropic_domestic
Trade & Services,0,1,anthropic_domestic
Trade & Services,1,1,anthropic_domestic
Crypto Assets,0,1,google_domestic
Crypto Assets,1,1,google_domestic
Energy & Transportation,1,3,google_domestic
Finance,0,2,google_domestic
Finance,1,2,google_domestic
Industrial Applications and Services,0,4,google_domestic
Industrial Applications and Services,1,2,google_domestic
Life Sciences,0,2,google_domestic
Life Sciences,1,2,google_domestic
Manufacturing,0,6,google_domestic
Manufacturing,1,3,google_domestic
Real Estate & Construction,0,1,google_domestic
Real Estate & Construction,1,2,google_domestic
Technology,0,46,google_domestic
Technology,1,35,google_domestic
Trade & Services,0,10,google_domestic
Trade & Services,1,7,google_domestic
Crypto Assets,1,1,general_international
Energy & Transportation,0,1,general_international
Energy & Transportation,1,1,general_international
Finance,0,7,general_international
Finance,1,7,general_international
Life Sciences,0,1,general_international
Life Sciences,1,2,general_international
Manufacturing,0,2,general_international
Manufacturing,1,5,general_international
Technology,0,22,general_international
Technology,1,17,general_international
Trade & Services,0,3,general_international
Trade & Services,1,3,general_international
Technology,0,5,openai_international
Technology,1,5,openai_international
Trade & Services,1,1,openai_international
Finance,0,1,anthropic_international
Finance,1,1,anthropic_international
Technology,0,3,anthropic_international
Energy & Transportation,0,1,google_international
Energy & Transportation,1,1,google_international
Life Sciences,1,1,google_international
Manufacturing,0,1,google_international
Manufacturing,1,1,google_international
Technology,0,16,google_international
Technology,1,10,google_international
Trade & Services,0,1,google_international
Trade & Services,1,3,google_international
