ownerOrg,period,count,component
Energy & Transportation,0,10,domestic
Energy & Transportation,1,7,domestic
Industrial Applications and Services,0,12,domestic
Industrial Applications and Services,1,15,domestic
Life Sciences,0,8,domestic
Life Sciences,1,7,domestic
Manufacturing,0,26,domestic
Manufacturing,1,23,domestic
Real Estate & Construction,0,1,domestic
Real Estate & Construction,1,1,domestic
Technology,0,11,domestic
Technology,1,10,domestic
Trade & Services,0,20,domestic
Trade & Services,1,22,domestic
Crypto Assets,0,2,international
Crypto Assets,1,2,international
Energy & Transportation,1,3,international
Manufacturing,0,8,international
Manufacturing,1,9,international
Technology,0,2,international
Technology,1,2,international
Trade & Services,0,6,international
Trade & Services,1,5,international
