filing_date,component,url,ownerOrg,name
2025-03-07,canada,https://www.sec.gov/Archives/edgar/data/1262976/000126297625000028/cmpr-20250307.htm#:~:text=tariff%20canada,Manufacturing,CIMPRESS plc
2025-03-20,canada,https://www.sec.gov/Archives/edgar/data/22444/000002244425000056/q22025-supplementalslide.htm#:~:text=tariff%20canada,Manufacturing,COMMERCIAL METALS Co
2025-02-26,canada,https://www.sec.gov/Archives/edgar/data/1340476/000095017025027902/drttf-ex99_1.htm#:~:text=tariff%20canada,Technology,DIRTT ENVIRONMENTAL SOLUTIONS LTD
2025-03-05,canada,https://www.sec.gov/Archives/edgar/data/1597672/000159767225000005/exhibit991ryamq42024.htm#:~:text=tariff%20canada,Manufacturing,RAYONIER ADVANCED MATERIALS INC.
2025-03-07,canada,https://www.sec.gov/Archives/edgar/data/65433/000183988225014286/ex99-i.htm#:~:text=tariff%20canada,,MEXICO FUND INC
2025-03-26,canada,https://www.sec.gov/Archives/edgar/data/1864943/000162828025014987/fgi-202503xex99x1.htm#:~:text=tariff%20canada,Manufacturing,FGI Industries Ltd.
2025-03-26,canada,https://www.sec.gov/Archives/edgar/data/66382/000006638225000020/mlkn8k_03012025ex991.htm#:~:text=tariff%20canada,Manufacturing,"MILLERKNOLL, INC."
2025-03-05,canada,https://www.sec.gov/Archives/edgar/data/723603/000095017025033645/culp-ex99_3.htm#:~:text=tariff%20canada,Manufacturing,CULP INC
2025-03-05,canada,https://www.sec.gov/Archives/edgar/data/1354866/000143774925006222/ex_785832.htm#:~:text=tariff%20canada,Manufacturing,Byrna Technologies Inc.
2025-03-11,canada,https://www.sec.gov/Archives/edgar/data/1005229/000119312525051555/d906174dex991.htm#:~:text=tariff%20canada,Technology,COLUMBUS MCKINNON CORP
2025-03-04,canada,https://www.sec.gov/Archives/edgar/data/106532/000155837025002168/weys-20250304xex99d1.htm#:~:text=tariff%20canada,Trade & Services,WEYCO GROUP INC
2025-03-17,canada,https://www.sec.gov/Archives/edgar/data/1439095/000119312525055193/d729501dex991.htm#:~:text=tariff%20canada,Trade & Services,MRC GLOBAL INC.
2025-03-13,canada,https://www.sec.gov/Archives/edgar/data/1113809/000143774925007382/ex_789286.htm#:~:text=tariff%20canada,Trade & Services,BUILD-A-BEAR WORKSHOP INC
2025-02-27,canada,https://www.sec.gov/Archives/edgar/data/701985/000070198525000005/ex991bbwi-20244qearningsre.htm#:~:text=tariff%20canada,Trade & Services,"Bath & Body Works, Inc."
2025-02-28,canada,https://www.sec.gov/Archives/edgar/data/2098/000095017025029633/acu-ex99_1.htm#:~:text=tariff%20canada,Manufacturing,ACME UNITED CORP
2025-02-26,canada,https://www.sec.gov/Archives/edgar/data/109198/000010919825000006/tjxq4fy25earningspressrele.htm#:~:text=tariff%20canada,Trade & Services,TJX COMPANIES INC /DE/
2025-03-11,canada,https://www.sec.gov/Archives/edgar/data/949858/000095017025036830/achv-ex99_1.htm#:~:text=tariff%20canada,Life Sciences,"ACHIEVE LIFE SCIENCES, INC."
2025-03-17,canada,https://www.sec.gov/Archives/edgar/data/1650132/000095017025040491/fcpt-ex99_1.htm#:~:text=tariff%20canada,Real Estate & Construction,"Four Corners Property Trust, Inc."
2025-02-26,canada,https://www.sec.gov/Archives/edgar/data/1350593/000135059325000016/mwairpresentationfebruar.htm#:~:text=tariff%20canada,Manufacturing,"Mueller Water Products, Inc."
2025-03-21,canada,https://www.sec.gov/Archives/edgar/data/1968487/000095017025043236/ws-ex99_2.htm#:~:text=tariff%20canada,Manufacturing,"Worthington Steel, Inc."
2025-03-19,canada,https://www.sec.gov/Archives/edgar/data/40704/000119312525057150/d902176dex99.htm#:~:text=tariff%20canada,Manufacturing,GENERAL MILLS INC
2025-03-05,canada,https://www.sec.gov/Archives/edgar/data/16732/000001673225000025/exhibit991-q22025.htm#:~:text=tariff%20canada,Manufacturing,CAMPBELL'S Co
2025-03-05,canada,https://www.sec.gov/Archives/edgar/data/14693/000001469325000015/fy25_q3xerjanuary.htm#:~:text=tariff%20canada,Manufacturing,BROWN FORMAN CORP
2025-03-26,canada,https://www.sec.gov/Archives/edgar/data/1050825/000117184325001723/exh_991.htm#:~:text=tariff%20canada,Manufacturing,STEELCASE INC
2025-02-28,canada,https://www.sec.gov/Archives/edgar/data/15615/000119312525040255/d924094dex991.htm#:~:text=tariff%20canada,Real Estate & Construction,MASTEC INC
2025-02-26,canada,https://www.sec.gov/Archives/edgar/data/28823/000002882325000026/dbd2025investordaypresen.htm#:~:text=tariff%20canada,Technology,"DIEBOLD NIXDORF, Inc"
2025-03-06,canada,https://www.sec.gov/Archives/edgar/data/1018840/000101884025000007/anf-usq_transcriptx2025x.htm#:~:text=tariff%20canada,Trade & Services,ABERCROMBIE & FITCH CO /DE/
2025-03-20,canada,https://www.sec.gov/Archives/edgar/data/1821769/000182176925000029/navitasatm-salesagreemente.htm#:~:text=tariff%20canada,Manufacturing,Navitas Semiconductor Corp
2025-03-25,canada,https://www.sec.gov/Archives/edgar/data/1770450/000119312525062401/d843949dex992.htm#:~:text=tariff%20canada,Technology,Xerox Holdings Corp
2025-03-25,canada,https://www.sec.gov/Archives/edgar/data/108772/000119312525062401/d843949dex992.htm#:~:text=tariff%20canada,,
2025-03-05,canada,https://www.sec.gov/Archives/edgar/data/1162461/000119312525046217/d878024dex103.htm#:~:text=tariff%20canada,Industrial Applications and Services,CUTERA INC
2025-03-07,china,https://www.sec.gov/Archives/edgar/data/1262976/000126297625000028/cmpr-20250307.htm#:~:text=tariff%20china,Manufacturing,CIMPRESS plc
2025-03-21,china,https://www.sec.gov/Archives/edgar/data/918541/000119312525060355/d900647dex991.htm#:~:text=tariff%20china,Technology,NN INC
2025-03-24,china,https://www.sec.gov/Archives/edgar/data/2028201/000101376225001578/ea0235354-8k_columbus.htm#:~:text=tariff%20china,Real Estate & Construction,Columbus Acquisition Corp/Cayman Islands
2025-03-24,china,https://www.sec.gov/Archives/edgar/data/2000410/000101376225001579/ea0235353-8k_eureka.htm#:~:text=tariff%20china,Real Estate & Construction,Eureka Acquisition Corp
2025-03-14,china,https://www.sec.gov/Archives/edgar/data/915358/000117184325001482/exh_991.htm#:~:text=tariff%20china,Manufacturing,SIGMATRON INTERNATIONAL INC
2025-03-05,china,https://www.sec.gov/Archives/edgar/data/918541/000091854125000016/pressrelease2024-q4.htm#:~:text=tariff%20china,Technology,NN INC
2025-03-20,china,https://www.sec.gov/Archives/edgar/data/22444/000002244425000056/q22025-supplementalslide.htm#:~:text=tariff%20china,Manufacturing,COMMERCIAL METALS Co
2025-03-05,china,https://www.sec.gov/Archives/edgar/data/723603/000095017025033645/culp-ex99_3.htm#:~:text=tariff%20china,Manufacturing,CULP INC
2025-03-05,china,https://www.sec.gov/Archives/edgar/data/1354866/000143774925006222/ex_785832.htm#:~:text=tariff%20china,Manufacturing,Byrna Technologies Inc.
2025-02-25,china,https://www.sec.gov/Archives/edgar/data/3453/000155837025001494/matx-20250225xex99d2.htm#:~:text=tariff%20china,Energy & Transportation,"Matson, Inc."
