ownerOrg,period,count,component
Energy & Transportation,0,7,domestic
Energy & Transportation,1,13,domestic
Finance,0,8,domestic
Finance,1,7,domestic
Industrial Applications and Services,0,12,domestic
Industrial Applications and Services,1,21,domestic
Life Sciences,0,25,domestic
Life Sciences,1,13,domestic
Manufacturing,0,12,domestic
Manufacturing,1,31,domestic
Real Estate & Construction,0,4,domestic
Real Estate & Construction,1,10,domestic
Technology,0,8,domestic
Technology,1,37,domestic
Trade & Services,0,13,domestic
Trade & Services,1,25,domestic
Energy & Transportation,0,2,international
Energy & Transportation,1,2,international
Finance,0,2,international
Industrial Applications and Services,0,2,international
Industrial Applications and Services,1,2,international
Life Sciences,0,1,international
Life Sciences,1,2,international
Manufacturing,0,3,international
Manufacturing,1,3,international
Real Estate & Construction,1,1,international
Technology,0,7,international
Technology,1,8,international
Trade & Services,0,2,international
Trade & Services,1,1,international
