ownerOrg,period,count,component
Real Estate & Construction,1,1,industrial-solvents_domestic
Crypto Assets,1,1,adhesives_domestic
Industrial Applications and Services,0,4,adhesives_domestic
Industrial Applications and Services,1,5,adhesives_domestic
Life Sciences,0,1,adhesives_domestic
Manufacturing,0,2,adhesives_domestic
Manufacturing,1,4,adhesives_domestic
Real Estate & Construction,1,1,adhesives_domestic
Technology,1,1,adhesives_domestic
Industrial Applications and Services,0,1,adhesives_intl
Industrial Applications and Services,1,1,adhesives_intl
Manufacturing,0,2,adhesives_intl
Manufacturing,1,2,adhesives_intl
Technology,1,1,adhesives_intl
Energy & Transportation,0,1,specialty-lubricants_domestic
Trade & Services,1,1,specialty-lubricants_domestic
